truth_date,country,snapshot_date,value,age,revision_status,week_in_season,revision_amount
2024-10-06,BE,2024-10-11,199.8,0,1,6,-20.700000000000017
2024-10-06,BE,2024-10-11,199.8,0,1,6,-20.700000000000017
2024-10-13,BE,2024-10-18,240.5,0,1,7,-57.69999999999999
2024-10-06,BE,2024-10-18,226.6,1,1,6,-47.5
2024-10-13,BE,2024-10-18,240.5,0,1,7,-57.69999999999999
2024-10-06,BE,2024-10-18,226.6,1,1,6,-47.5
2024-10-20,BE,2024-10-25,212.5,0,1,8,-62.19999999999999
2024-10-13,BE,2024-10-25,223.1,1,1,7,-40.29999999999998
2024-10-06,BE,2024-10-25,226.7,2,1,6,-47.599999999999994
2024-10-20,BE,2024-10-25,212.5,0,1,8,-62.19999999999999
2024-10-13,BE,2024-10-25,223.1,1,1,7,-40.29999999999998
2024-10-06,BE,2024-10-25,226.7,2,1,6,-47.599999999999994
2024-11-03,BE,2024-11-08,50.9,0,1,10,-4.299999999999997
2024-10-27,BE,2024-11-08,121.6,1,1,9,-26.5
2024-10-20,BE,2024-11-08,220.8,2,1,8,-70.5
2024-10-13,BE,2024-11-08,227.9,3,1,7,-45.099999999999994
2024-10-06,BE,2024-11-08,226.7,4,1,6,-47.599999999999994
2024-11-03,BE,2024-11-08,50.9,0,1,10,-4.299999999999997
2024-10-27,BE,2024-11-08,121.6,1,1,9,-26.5
2024-10-20,BE,2024-11-08,220.8,2,1,8,-70.5
2024-10-13,BE,2024-11-08,227.9,3,1,7,-45.099999999999994
2024-10-06,BE,2024-11-08,226.7,4,1,6,-47.599999999999994
2024-11-10,BE,2024-11-15,89.2,0,1,11,-1.6000000000000085
2024-11-03,BE,2024-11-15,59.1,1,1,10,-12.5
2024-10-27,BE,2024-11-15,119.0,2,1,9,-23.900000000000006
2024-10-20,BE,2024-11-15,220.8,3,1,8,-70.5
2024-10-13,BE,2024-11-15,227.9,4,1,7,-45.099999999999994
2024-10-06,BE,2024-11-15,226.7,5,1,6,-47.599999999999994
2024-11-10,BE,2024-11-15,89.2,0,1,11,-1.6000000000000085
2024-11-03,BE,2024-11-15,59.1,1,1,10,-12.5
2024-10-27,BE,2024-11-15,119.0,2,1,9,-23.900000000000006
2024-10-20,BE,2024-11-15,220.8,3,1,8,-70.5
2024-10-13,BE,2024-11-15,227.9,4,1,7,-45.099999999999994
2024-10-06,BE,2024-11-15,226.7,5,1,6,-47.599999999999994
2024-11-17,BE,2024-11-22,110.9,0,1,12,-41.7
2024-11-10,BE,2024-11-22,105.8,1,1,11,-18.200000000000003
2024-11-03,BE,2024-11-22,59.1,2,1,10,-12.5
2024-10-27,BE,2024-11-22,121.8,3,1,9,-26.700000000000003
2024-10-20,BE,2024-11-22,216.0,4,1,8,-65.69999999999999
2024-10-13,BE,2024-11-22,227.9,5,1,7,-45.099999999999994
2024-10-06,BE,2024-11-22,226.7,6,1,6,-47.599999999999994
2024-11-17,BE,2024-11-22,110.9,0,1,12,-41.7
2024-11-10,BE,2024-11-22,105.8,1,1,11,-18.200000000000003
2024-11-03,BE,2024-11-22,59.1,2,1,10,-12.5
2024-10-27,BE,2024-11-22,121.8,3,1,9,-26.700000000000003
2024-10-20,BE,2024-11-22,216.0,4,1,8,-65.69999999999999
2024-10-13,BE,2024-11-22,227.9,5,1,7,-45.099999999999994
