truth_date,country,snapshot_date,value,age,revision_status,week_in_season,revision_amount
2024-10-06,BE,2024-11-22,226.7,6,1,6,-47.599999999999994
2024-11-24,BE,2024-11-29,84.5,0,1,13,-7.700000000000003
2024-11-17,BE,2024-11-29,106.0,1,1,12,-36.8
2024-11-10,BE,2024-11-29,103.8,2,1,11,-16.200000000000003
2024-11-03,BE,2024-11-29,60.1,3,1,10,-13.5
2024-10-27,BE,2024-11-29,121.8,4,1,9,-26.700000000000003
2024-10-20,BE,2024-11-29,216.0,5,1,8,-65.69999999999999
2024-10-13,BE,2024-11-29,227.9,6,1,7,-45.099999999999994
2024-10-06,BE,2024-11-29,226.7,7,1,6,-47.599999999999994
2024-11-24,BE,2024-11-29,84.5,0,1,13,-7.700000000000003
2024-11-17,BE,2024-11-29,106.0,1,1,12,-36.8
2024-11-10,BE,2024-11-29,103.8,2,1,11,-16.200000000000003
2024-11-03,BE,2024-11-29,60.1,3,1,10,-13.5
2024-10-27,BE,2024-11-29,121.8,4,1,9,-26.700000000000003
2024-10-20,BE,2024-11-29,216.0,5,1,8,-65.69999999999999
2024-10-13,BE,2024-11-29,227.9,6,1,7,-45.099999999999994
2024-10-06,BE,2024-11-29,226.7,7,1,6,-47.599999999999994
2024-12-01,BE,2024-12-06,116.2,0,1,14,1.7999999999999972
2024-11-24,BE,2024-12-06,92.1,1,1,13,-15.299999999999997
2024-11-17,BE,2024-12-06,106.0,2,1,12,-36.8
2024-11-10,BE,2024-12-06,103.8,3,1,11,-16.200000000000003
2024-11-03,BE,2024-12-06,60.1,4,1,10,-13.5
2024-10-27,BE,2024-12-06,121.8,5,1,9,-26.700000000000003
2024-10-20,BE,2024-12-06,216.0,6,1,8,-65.69999999999999
2024-10-13,BE,2024-12-06,227.9,7,1,7,-45.099999999999994
2024-10-06,BE,2024-12-06,226.7,8,1,6,-47.599999999999994
2024-12-01,BE,2024-12-06,116.2,0,1,14,1.7999999999999972
2024-11-24,BE,2024-12-06,92.1,1,1,13,-15.299999999999997
2024-11-17,BE,2024-12-06,106.0,2,1,12,-36.8
2024-11-10,BE,2024-12-06,103.8,3,1,11,-16.200000000000003
2024-11-03,BE,2024-12-06,60.1,4,1,10,-13.5
2024-10-27,BE,2024-12-06,121.8,5,1,9,-26.700000000000003
2024-10-20,BE,2024-12-06,216.0,6,1,8,-65.69999999999999
2024-10-13,BE,2024-12-06,227.9,7,1,7,-45.099999999999994
2024-10-06,BE,2024-12-06,226.7,8,1,6,-47.599999999999994
2024-12-08,BE,2024-12-13,185.5,0,1,15,-17.400000000000006
2024-12-01,BE,2024-12-13,143.6,1,1,14,-25.599999999999994
2024-11-24,BE,2024-12-13,92.1,2,1,13,-15.299999999999997
2024-11-17,BE,2024-12-13,106.0,3,1,12,-36.8
2024-11-10,BE,2024-12-13,103.8,4,1,11,-16.200000000000003
2024-11-03,BE,2024-12-13,60.1,5,1,10,-13.5
2024-10-27,BE,2024-12-13,121.8,6,1,9,-26.700000000000003
2024-10-20,BE,2024-12-13,216.0,7,1,8,-65.69999999999999
2024-10-13,BE,2024-12-13,227.9,8,1,7,-45.099999999999994
2024-10-06,BE,2024-12-13,226.7,9,1,6,-47.599999999999994
2024-12-08,BE,2024-12-13,185.5,0,1,15,-17.400000000000006
2024-12-01,BE,2024-12-13,143.6,1,1,14,-25.599999999999994
2024-11-24,BE,2024-12-13,92.1,2,1,13,-15.299999999999997
2024-11-17,BE,2024-12-13,106.0,3,1,12,-36.8
2024-11-10,BE,2024-12-13,103.8,4,1,11,-16.200000000000003
2024-11-03,BE,2024-12-13,60.1,5,1,10,-13.5
2024-10-27,BE,2024-12-13,121.8,6,1,9,-26.700000000000003
2024-10-20,BE,2024-12-13,216.0,7,1,8,-65.69999999999999
2024-10-13,BE,2024-12-13,227.9,8,1,7,-45.099999999999994
2024-10-06,BE,2024-12-13,226.7,9,1,6,-47.599999999999994
2024-12-15,BE,2024-12-20,267.5,0,1,16,-18.599999999999994
2024-12-08,BE,2024-12-20,201.4,1,1,15,-33.30000000000001
2024-12-01,BE,2024-12-20,140.7,2,1,14,-22.69999999999999
2024-11-24,BE,2024-12-20,90.0,3,1,13,-13.200000000000003
2024-11-17,BE,2024-12-20,103.5,4,1,12,-34.3
2024-11-10,BE,2024-12-20,110.5,5,1,11,-22.900000000000006
2024-11-03,BE,2024-12-20,58.5,6,1,10,-11.899999999999999
2024-10-27,BE,2024-12-20,118.8,7,1,9,-23.700000000000003
2024-10-20,BE,2024-12-20,211.4,8,1,8,-61.099999999999994
2024-10-13,BE,2024-12-20,223.0,9,1,7,-40.19999999999999
2024-10-06,BE,2024-12-20,221.6,10,1,6,-42.5
2024-12-15,BE,2024-12-20,267.5,0,1,16,-18.599999999999994
2024-12-08,BE,2024-12-20,201.4,1,1,15,-33.30000000000001
2024-12-01,BE,2024-12-20,140.7,2,1,14,-22.69999999999999
2024-11-24,BE,2024-12-20,90.0,3,1,13,-13.200000000000003
2024-11-17,BE,2024-12-20,103.5,4,1,12,-34.3
2024-11-10,BE,2024-12-20,110.5,5,1,11,-22.900000000000006
2024-11-03,BE,2024-12-20,58.5,6,1,10,-11.899999999999999
2024-10-27,BE,2024-12-20,118.8,7,1,9,-23.700000000000003
2024-10-20,BE,2024-12-20,211.4,8,1,8,-61.099999999999994
2024-10-13,BE,2024-12-20,223.0,9,1,7,-40.19999999999999
2024-10-06,BE,2024-12-20,221.6,10,1,6,-42.5
2024-12-22,BE,2025-01-03,323.7,1,1,17,-89.29999999999998
2024-12-15,BE,2025-01-03,288.6,2,1,16,-39.70000000000002
2024-12-08,BE,2025-01-03,201.4,3,1,15,-33.30000000000001
2024-12-01,BE,2025-01-03,140.7,4,1,14,-22.69999999999999
2024-11-24,BE,2025-01-03,90.0,5,1,13,-13.200000000000003
2024-11-17,BE,2025-01-03,103.5,6,1,12,-34.3
2024-11-10,BE,2025-01-03,110.5,7,1,11,-22.900000000000006
2024-11-03,BE,2025-01-03,58.5,8,1,10,-11.899999999999999
2024-10-27,BE,2025-01-03,118.8,9,1,9,-23.700000000000003
2024-10-20,BE,2025-01-03,211.4,10,1,8,-61.099999999999994
2024-10-13,BE,2025-01-03,223.0,11,1,7,-40.19999999999999
2024-10-06,BE,2025-01-03,221.6,12,1,6,-42.5
2024-12-22,BE,2025-01-03,323.7,1,1,17,-89.29999999999998
2024-12-15,BE,2025-01-03,288.6,2,1,16,-39.70000000000002
2024-12-08,BE,2025-01-03,201.4,3,1,15,-33.30000000000001
2024-12-01,BE,2025-01-03,140.7,4,1,14,-22.69999999999999
2024-11-24,BE,2025-01-03,90.0,5,1,13,-13.200000000000003
2024-11-17,BE,2025-01-03,103.5,6,1,12,-34.3
2024-11-10,BE,2025-01-03,110.5,7,1,11,-22.900000000000006
2024-11-03,BE,2025-01-03,58.5,8,1,10,-11.899999999999999
2024-10-27,BE,2025-01-03,118.8,9,1,9,-23.700000000000003
2024-10-20,BE,2025-01-03,211.4,10,1,8,-61.099999999999994
2024-10-13,BE,2025-01-03,223.0,11,1,7,-40.19999999999999
2024-10-06,BE,2025-01-03,221.6,12,1,6,-42.5
2025-01-05,BE,2025-01-10,412.3,0,1,19,-8.300000000000011
2024-12-22,BE,2025-01-10,286.4,2,1,17,-51.99999999999997
2024-12-15,BE,2025-01-10,300.5,3,1,16,-51.599999999999994
2024-12-08,BE,2025-01-10,201.4,4,1,15,-33.30000000000001
2024-12-01,BE,2025-01-10,140.7,5,1,14,-22.69999999999999
2024-11-24,BE,2025-01-10,90.0,6,1,13,-13.200000000000003
2024-11-17,BE,2025-01-10,103.5,7,1,12,-34.3
2024-11-10,BE,2025-01-10,110.5,8,1,11,-22.900000000000006
2024-11-03,BE,2025-01-10,58.5,9,1,10,-11.899999999999999
2024-10-27,BE,2025-01-10,118.8,10,1,9,-23.700000000000003
2024-10-20,BE,2025-01-10,211.4,11,1,8,-61.099999999999994
2024-10-13,BE,2025-01-10,223.0,12,1,7,-40.19999999999999
2024-10-06,BE,2025-01-10,221.6,13,1,6,-42.5
2025-01-05,BE,2025-01-10,412.3,0,1,19,-8.300000000000011
2024-12-22,BE,2025-01-10,286.4,2,1,17,-51.99999999999997
2024-12-15,BE,2025-01-10,300.5,3,1,16,-51.599999999999994
2024-12-08,BE,2025-01-10,201.4,4,1,15,-33.30000000000001
2024-12-01,BE,2025-01-10,140.7,5,1,14,-22.69999999999999
2024-11-24,BE,2025-01-10,90.0,6,1,13,-13.200000000000003
2024-11-17,BE,2025-01-10,103.5,7,1,12,-34.3
2024-11-10,BE,2025-01-10,110.5,8,1,11,-22.900000000000006
2024-11-03,BE,2025-01-10,58.5,9,1,10,-11.899999999999999
2024-10-27,BE,2025-01-10,118.8,10,1,9,-23.700000000000003
2024-10-20,BE,2025-01-10,211.4,11,1,8,-61.099999999999994
2024-10-13,BE,2025-01-10,223.0,12,1,7,-40.19999999999999
2024-10-06,BE,2025-01-10,221.6,13,1,6,-42.5
2025-01-05,BE,2025-01-17,399.9,1,1,19,4.100000000000023
2024-12-29,BE,2025-01-17,334.5,2,1,18,5.100000000000023
2024-12-22,BE,2025-01-17,235.6,3,1,17,-1.1999999999999886
2024-12-15,BE,2025-01-17,246.3,4,1,16,2.5999999999999943
2024-12-08,BE,2025-01-17,166.2,5,1,15,1.9000000000000057
2024-12-01,BE,2025-01-17,116.6,6,1,14,1.4000000000000057
2024-11-24,BE,2025-01-17,75.8,7,1,13,1.0
2024-11-17,BE,2025-01-17,87.9,8,1,12,-18.700000000000003
2024-11-10,BE,2025-01-17,86.4,9,1,11,1.1999999999999886
2024-11-03,BE,2025-01-17,45.9,10,1,10,0.7000000000000028
2024-10-27,BE,2025-01-17,93.8,11,1,9,1.2999999999999972
2024-10-20,BE,2025-01-17,172.5,12,1,8,-22.19999999999999
2024-10-13,BE,2025-01-17,180.6,13,1,7,2.200000000000017
2024-10-06,BE,2025-01-17,176.8,14,1,6,2.299999999999983
2025-01-05,BE,2025-01-17,399.9,1,1,19,4.100000000000023
2024-12-29,BE,2025-01-17,334.5,2,1,18,5.100000000000023
2024-12-22,BE,2025-01-17,235.6,3,1,17,-1.1999999999999886
2024-12-15,BE,2025-01-17,246.3,4,1,16,2.5999999999999943
2024-12-08,BE,2025-01-17,166.2,5,1,15,1.9000000000000057
2024-12-01,BE,2025-01-17,116.6,6,1,14,1.4000000000000057
2024-11-24,BE,2025-01-17,75.8,7,1,13,1.0
2024-11-17,BE,2025-01-17,87.9,8,1,12,-18.700000000000003
2024-11-10,BE,2025-01-17,86.4,9,1,11,1.1999999999999886
2024-11-03,BE,2025-01-17,45.9,10,1,10,0.7000000000000028
2024-10-27,BE,2025-01-17,93.8,11,1,9,1.2999999999999972
2024-10-20,BE,2025-01-17,172.5,12,1,8,-22.19999999999999
2024-10-13,BE,2025-01-17,180.6,13,1,7,2.200000000000017
2024-10-06,BE,2025-01-17,176.8,14,1,6,2.299999999999983
2025-01-19,BE,2025-01-24,644.0,0,1,21,116.10000000000002
2025-01-12,BE,2025-01-24,640.9,1,1,20,8.0
2025-01-05,BE,2025-01-24,397.8,2,1,19,6.199999999999989
2024-12-29,BE,2025-01-24,334.5,3,1,18,5.100000000000023
2024-12-22,BE,2025-01-24,231.6,4,1,17,2.8000000000000114
2024-12-15,BE,2025-01-24,246.3,5,1,16,2.5999999999999943
2024-12-08,BE,2025-01-24,166.2,6,1,15,1.9000000000000057
2024-12-01,BE,2025-01-24,116.6,7,1,14,1.4000000000000057
2024-11-24,BE,2025-01-24,75.8,8,1,13,1.0
2024-11-17,BE,2025-01-24,87.9,9,1,12,-18.700000000000003
2024-11-10,BE,2025-01-24,86.4,10,1,11,1.1999999999999886
2024-11-03,BE,2025-01-24,45.9,11,1,10,0.7000000000000028
2024-10-27,BE,2025-01-24,93.8,12,1,9,1.2999999999999972
2024-10-20,BE,2025-01-24,172.5,13,1,8,-22.19999999999999
2024-10-13,BE,2025-01-24,180.6,14,1,7,2.200000000000017
2024-10-06,BE,2025-01-24,176.8,15,1,6,2.299999999999983
2025-01-19,BE,2025-01-24,644.0,0,1,21,116.10000000000002
2025-01-12,BE,2025-01-24,640.9,1,1,20,8.0
2025-01-05,BE,2025-01-24,397.8,2,1,19,6.199999999999989
2024-12-29,BE,2025-01-24,334.5,3,1,18,5.100000000000023
2024-12-22,BE,2025-01-24,231.6,4,1,17,2.8000000000000114
2024-12-15,BE,2025-01-24,246.3,5,1,16,2.5999999999999943
2024-12-08,BE,2025-01-24,166.2,6,1,15,1.9000000000000057
2024-12-01,BE,2025-01-24,116.6,7,1,14,1.4000000000000057
2024-11-24,BE,2025-01-24,75.8,8,1,13,1.0
2024-11-17,BE,2025-01-24,87.9,9,1,12,-18.700000000000003
2024-11-10,BE,2025-01-24,86.4,10,1,11,1.1999999999999886
2024-11-03,BE,2025-01-24,45.9,11,1,10,0.7000000000000028
2024-10-27,BE,2025-01-24,93.8,12,1,9,1.2999999999999972
2024-10-20,BE,2025-01-24,172.5,13,1,8,-22.19999999999999
2024-10-13,BE,2025-01-24,180.6,14,1,7,2.200000000000017
2024-10-06,BE,2025-01-24,176.8,15,1,6,2.299999999999983
2025-01-26,BE,2025-01-31,925.6,0,1,22,283.30000000000007
2025-01-19,BE,2025-01-31,753.6,1,1,21,6.5
2025-01-12,BE,2025-01-31,635.8,2,1,20,13.100000000000023
2025-01-05,BE,2025-01-31,393.8,3,1,19,10.199999999999989
2024-12-29,BE,2025-01-31,331.2,4,1,18,8.400000000000034
2024-12-22,BE,2025-01-31,229.8,5,1,17,4.599999999999994
2024-12-15,BE,2025-01-31,244.7,6,1,16,4.200000000000017
2024-12-08,BE,2025-01-31,165.0,7,1,15,3.0999999999999943
2024-12-01,BE,2025-01-31,115.7,8,1,14,2.299999999999997
2024-11-24,BE,2025-01-31,75.1,9,1,13,1.7000000000000028
2024-11-17,BE,2025-01-31,87.1,10,1,12,-17.89999999999999
2024-11-10,BE,2025-01-31,85.7,11,1,11,1.8999999999999915
2024-11-03,BE,2025-01-31,45.5,12,1,10,1.1000000000000014
2024-10-27,BE,2025-01-31,93.0,13,1,9,2.0999999999999943
2024-10-20,BE,2025-01-31,171.2,14,1,8,-20.899999999999977
2024-10-13,BE,2025-01-31,179.2,15,1,7,3.6000000000000227
2024-10-06,BE,2025-01-31,175.4,16,1,6,3.6999999999999886
2025-01-26,BE,2025-01-31,925.6,0,1,22,283.30000000000007
2025-01-19,BE,2025-01-31,753.6,1,1,21,6.5
2025-01-12,BE,2025-01-31,635.8,2,1,20,13.100000000000023
2025-01-05,BE,2025-01-31,393.8,3,1,19,10.199999999999989
2024-12-29,BE,2025-01-31,331.2,4,1,18,8.400000000000034
2024-12-22,BE,2025-01-31,229.8,5,1,17,4.599999999999994
2024-12-15,BE,2025-01-31,244.7,6,1,16,4.200000000000017
2024-12-08,BE,2025-01-31,165.0,7,1,15,3.0999999999999943
2024-12-01,BE,2025-01-31,115.7,8,1,14,2.299999999999997
2024-11-24,BE,2025-01-31,75.1,9,1,13,1.7000000000000028
2024-11-17,BE,2025-01-31,87.1,10,1,12,-17.89999999999999
2024-11-10,BE,2025-01-31,85.7,11,1,11,1.8999999999999915
2024-11-03,BE,2025-01-31,45.5,12,1,10,1.1000000000000014
2024-10-27,BE,2025-01-31,93.0,13,1,9,2.0999999999999943
2024-10-20,BE,2025-01-31,171.2,14,1,8,-20.899999999999977
2024-10-13,BE,2025-01-31,179.2,15,1,7,3.6000000000000227
2024-10-06,BE,2025-01-31,175.4,16,1,6,3.6999999999999886
2025-02-02,BE,2025-02-07,1218.6,0,1,23,-16.899999999999864
2025-01-26,BE,2025-02-07,767.3,1,1,22,441.60000000000014
2025-01-19,BE,2025-02-07,648.9,2,1,21,111.20000000000005
2025-01-12,BE,2025-02-07,404.0,3,1,20,244.89999999999998
2025-01-05,BE,2025-02-07,339.6,4,1,19,64.39999999999998
2024-12-29,BE,2025-02-07,234.4,5,1,18,105.20000000000002
2024-12-22,BE,2025-02-07,248.9,6,1,17,-14.5
2024-12-15,BE,2025-02-07,168.1,7,1,16,80.80000000000001
2024-12-08,BE,2025-02-07,118.0,8,1,15,50.099999999999994
2024-12-01,BE,2025-02-07,76.8,9,1,14,41.2
2024-11-24,BE,2025-02-07,69.2,10,1,13,7.599999999999994
2024-11-17,BE,2025-02-07,87.6,11,1,12,-18.39999999999999
2024-11-10,BE,2025-02-07,46.6,12,1,11,40.99999999999999
2024-11-03,BE,2025-02-07,95.1,13,1,10,-48.49999999999999
2024-10-27,BE,2025-02-07,150.3,14,1,9,-55.20000000000002
2024-10-20,BE,2025-02-07,182.8,15,1,8,-32.5
2024-10-13,BE,2025-02-07,179.1,16,1,7,3.700000000000017
2024-10-06,BE,2025-02-07,140.8,17,1,6,38.29999999999998
2025-02-02,BE,2025-02-07,1218.6,0,1,23,-16.899999999999864
2025-01-26,BE,2025-02-07,767.3,1,1,22,441.60000000000014
2025-01-19,BE,2025-02-07,648.9,2,1,21,111.20000000000005
2025-01-12,BE,2025-02-07,404.0,3,1,20,244.89999999999998
2025-01-05,BE,2025-02-07,339.6,4,1,19,64.39999999999998
2024-12-29,BE,2025-02-07,234.4,5,1,18,105.20000000000002
2024-12-22,BE,2025-02-07,248.9,6,1,17,-14.5
2024-12-15,BE,2025-02-07,168.1,7,1,16,80.80000000000001
2024-12-08,BE,2025-02-07,118.0,8,1,15,50.099999999999994
2024-12-01,BE,2025-02-07,76.8,9,1,14,41.2
2024-11-24,BE,2025-02-07,69.2,10,1,13,7.599999999999994
2024-11-17,BE,2025-02-07,87.6,11,1,12,-18.39999999999999
2024-11-10,BE,2025-02-07,46.6,12,1,11,40.99999999999999
2024-11-03,BE,2025-02-07,95.1,13,1,10,-48.49999999999999
2024-10-27,BE,2025-02-07,150.3,14,1,9,-55.20000000000002
2024-10-20,BE,2025-02-07,182.8,15,1,8,-32.5
2024-10-13,BE,2025-02-07,179.1,16,1,7,3.700000000000017
2024-10-06,BE,2025-02-07,140.8,17,1,6,38.29999999999998
2025-02-09,BE,2025-02-14,1214.8,0,1,24,-382.0
2025-02-02,BE,2025-02-14,1218.6,1,1,23,-16.899999999999864
2025-01-26,BE,2025-02-14,767.3,2,1,22,441.60000000000014
2025-01-19,BE,2025-02-14,648.9,3,1,21,111.20000000000005
2025-01-12,BE,2025-02-14,404.0,4,1,20,244.89999999999998
2025-01-05,BE,2025-02-14,339.6,5,1,19,64.39999999999998
2024-12-29,BE,2025-02-14,234.4,6,1,18,105.20000000000002
2024-12-22,BE,2025-02-14,248.9,7,1,17,-14.5
2024-12-15,BE,2025-02-14,168.1,8,1,16,80.80000000000001
2024-12-08,BE,2025-02-14,118.0,9,1,15,50.099999999999994
2024-12-01,BE,2025-02-14,76.8,10,1,14,41.2
2024-11-24,BE,2025-02-14,69.2,11,1,13,7.599999999999994
2024-11-17,BE,2025-02-14,87.6,12,1,12,-18.39999999999999
2024-11-10,BE,2025-02-14,46.6,13,1,11,40.99999999999999
2024-11-03,BE,2025-02-14,95.1,14,1,10,-48.49999999999999
2024-10-27,BE,2025-02-14,150.3,15,1,9,-55.20000000000002
2024-10-20,BE,2025-02-14,182.8,16,1,8,-32.5
2024-10-13,BE,2025-02-14,179.1,17,1,7,3.700000000000017
2024-10-06,BE,2025-02-14,140.8,18,1,6,38.29999999999998
2025-02-09,BE,2025-02-14,1214.8,0,1,24,-382.0
2025-02-02,BE,2025-02-14,1218.6,1,1,23,-16.899999999999864
2025-01-26,BE,2025-02-14,767.3,2,1,22,441.60000000000014
2025-01-19,BE,2025-02-14,648.9,3,1,21,111.20000000000005
2025-01-12,BE,2025-02-14,404.0,4,1,20,244.89999999999998
2025-01-05,BE,2025-02-14,339.6,5,1,19,64.39999999999998
2024-12-29,BE,2025-02-14,234.4,6,1,18,105.20000000000002
2024-12-22,BE,2025-02-14,248.9,7,1,17,-14.5
2024-12-15,BE,2025-02-14,168.1,8,1,16,80.80000000000001
2024-12-08,BE,2025-02-14,118.0,9,1,15,50.099999999999994
2024-12-01,BE,2025-02-14,76.8,10,1,14,41.2
2024-11-24,BE,2025-02-14,69.2,11,1,13,7.599999999999994
2024-11-17,BE,2025-02-14,87.6,12,1,12,-18.39999999999999
2024-11-10,BE,2025-02-14,46.6,13,1,11,40.99999999999999
2024-11-03,BE,2025-02-14,95.1,14,1,10,-48.49999999999999
2024-10-27,BE,2025-02-14,150.3,15,1,9,-55.20000000000002
2024-10-20,BE,2025-02-14,182.8,16,1,8,-32.5
2024-10-13,BE,2025-02-14,179.1,17,1,7,3.700000000000017
2024-10-06,BE,2025-02-14,140.8,18,1,6,38.29999999999998
2025-02-16,BE,2025-02-21,853.5,0,1,25,15.899999999999977
2025-02-09,BE,2025-02-21,792.7,1,1,24,40.09999999999991
2025-02-02,BE,2025-02-21,1201.7,2,0,23,0.0
2025-01-26,BE,2025-02-21,1208.9,3,0,22,0.0
2025-01-19,BE,2025-02-21,760.1,4,0,21,0.0
2025-01-12,BE,2025-02-21,648.9,5,0,20,0.0
2025-01-05,BE,2025-02-21,404.0,6,0,19,0.0
2024-12-29,BE,2025-02-21,339.6,7,0,18,0.0
2024-12-22,BE,2025-02-21,234.4,8,0,17,0.0
2024-12-15,BE,2025-02-21,248.9,9,0,16,0.0
2024-12-08,BE,2025-02-21,168.1,10,0,15,0.0
2024-12-01,BE,2025-02-21,118.0,11,0,14,0.0
2024-11-24,BE,2025-02-21,76.8,12,0,13,0.0
2024-11-17,BE,2025-02-21,69.2,13,0,12,0.0
2024-11-10,BE,2025-02-21,87.6,14,0,11,0.0
2024-11-03,BE,2025-02-21,46.6,15,0,10,0.0
2024-10-27,BE,2025-02-21,95.1,16,0,9,0.0
2024-10-20,BE,2025-02-21,150.3,17,0,8,0.0
2024-10-13,BE,2025-02-21,182.8,18,0,7,0.0
2024-10-06,BE,2025-02-21,179.1,19,0,6,0.0
2025-02-16,BE,2025-02-21,853.5,0,1,25,15.899999999999977
2025-02-09,BE,2025-02-21,792.7,1,1,24,40.09999999999991
2025-02-02,BE,2025-02-21,1201.7,2,0,23,0.0
2025-01-26,BE,2025-02-21,1208.9,3,0,22,0.0
2025-01-19,BE,2025-02-21,760.1,4,0,21,0.0
2025-01-12,BE,2025-02-21,648.9,5,0,20,0.0
2025-01-05,BE,2025-02-21,404.0,6,0,19,0.0
2024-12-29,BE,2025-02-21,339.6,7,0,18,0.0
2024-12-22,BE,2025-02-21,234.4,8,0,17,0.0
2024-12-15,BE,2025-02-21,248.9,9,0,16,0.0
2024-12-08,BE,2025-02-21,168.1,10,0,15,0.0
2024-12-01,BE,2025-02-21,118.0,11,0,14,0.0
2024-11-24,BE,2025-02-21,76.8,12,0,13,0.0
2024-11-17,BE,2025-02-21,69.2,13,0,12,0.0
2024-11-10,BE,2025-02-21,87.6,14,0,11,0.0
2024-11-03,BE,2025-02-21,46.6,15,0,10,0.0
2024-10-27,BE,2025-02-21,95.1,16,0,9,0.0
2024-10-20,BE,2025-02-21,150.3,17,0,8,0.0
2024-10-13,BE,2025-02-21,182.8,18,0,7,0.0
2024-10-06,BE,2025-02-21,179.1,19,0,6,0.0
2025-02-23,BE,2025-02-28,692.4,0,1,26,13.0
2025-02-16,BE,2025-02-28,869.4,1,0,25,0.0
2025-02-09,BE,2025-02-28,832.8,2,0,24,0.0
2025-02-02,BE,2025-02-28,1201.7,3,0,23,0.0
2025-01-26,BE,2025-02-28,1208.9,4,0,22,0.0
2025-01-19,BE,2025-02-28,760.1,5,0,21,0.0
2025-01-12,BE,2025-02-28,648.9,6,0,20,0.0
2025-01-05,BE,2025-02-28,404.0,7,0,19,0.0
2024-12-29,BE,2025-02-28,339.6,8,0,18,0.0
2024-12-22,BE,2025-02-28,234.4,9,0,17,0.0
2024-12-15,BE,2025-02-28,248.9,10,0,16,0.0
2024-12-08,BE,2025-02-28,168.1,11,0,15,0.0
2024-12-01,BE,2025-02-28,118.0,12,0,14,0.0
2024-11-24,BE,2025-02-28,76.8,13,0,13,0.0
2024-11-17,BE,2025-02-28,69.2,14,0,12,0.0
2024-11-10,BE,2025-02-28,87.6,15,0,11,0.0
2024-11-03,BE,2025-02-28,46.6,16,0,10,0.0
2024-10-27,BE,2025-02-28,95.1,17,0,9,0.0
2024-10-20,BE,2025-02-28,150.3,18,0,8,0.0
2024-10-13,BE,2025-02-28,182.8,19,0,7,0.0
2024-10-06,BE,2025-02-28,179.1,20,0,6,0.0
